avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
2.667,0.769,0.678,3.905,0.174,4.429,0.882,0.524,0.05,0.065,0.073,0.832,Defacement
2.667,0.88,0.81,10.667,0.076,11.583,0.921,0.75,0.032,0.036,0.039,0.843,Defacement
2.667,0.741,0.612,3.467,0.177,4.2,0.825,0.6,0.035,0.048,0.058,0.782,Defacement
5,0.738,0.025,0.143,0.175,4.214,0.034,0.786,0.038,0.097,-1,0.925,malware
4.625,0.611,0.028,0.095,0.292,2.095,0.046,0.714,0,0,-1,0.87,malware
3.636,0.704,0.028,0.143,0.197,3.571,0.04,0.786,0.028,0.046,-1,0.925,malware
2.667,0.222,0.044,0.071,0.622,0.357,0.2,0.429,0,0,-1,0.73,Defacement
4.333,0.882,0.788,10.308,0.077,11.539,0.893,0.769,0.147,0.168,0.187,0.86,malware
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1,0.851,malware
2.667,0.787,0.67,4.846,0.138,5.692,0.851,0.308,0.053,0.069,0.079,0.818,Defacement
4.625,0.638,0.029,0.111,0.261,2.444,0.046,0.611,0,0,-1,0.83,malware
3,0.775,0.606,4.778,0.127,6.111,0.782,0.667,0.113,0.148,0.186,1,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
2.5,0.489,0.192,0.529,0.362,1.353,0.391,0.588,0.021,0.056,0.111,0.788,Defacement
2.667,0.675,0.542,2.25,0.241,2.8,0.804,0.4,0.024,0.036,0.044,0.789,Defacement
3.625,0.681,0.145,0.667,0.217,3.133,0.213,0.533,0.246,0.364,0.4,0.817,malware
7.5,0.694,0.028,0.133,0.208,3.333,0.04,0.333,0.222,0.8,-1,0.723,malware
3.75,0.759,0.53,3.385,0.157,4.846,0.698,0.769,0.229,0.307,0.364,0.86,malware
5.571,0.692,0.031,0.154,0.2,3.462,0.044,0.769,0,0,-1,0.818,malware
2.455,0.696,0.145,0.714,0.203,3.429,0.208,0.714,0.203,-1,0.4,0.798,malware
2.2,0.741,0.553,3.133,0.177,4.2,0.746,0.8,0.106,0.107,0.128,0.932,malware
2.667,0.733,0.638,3.083,0.207,3.542,0.871,0.5,0.052,0.071,0.081,0.816,Defacement
3,0.741,0.553,3.133,0.177,4.2,0.746,0.333,0.047,0.07,0.085,0.804,Defacement
14.667,0.823,0.018,0.154,0.115,7.154,0.022,0.462,0.115,0.148,-1,0.751,malware
2.667,0.659,0.534,2.044,0.261,2.522,0.81,0.696,0.046,0.07,0.085,0.721,Defacement
4.7,0.776,0.194,1.267,0.153,5.067,0.25,0.8,0.061,0.188,0.316,0.898,malware
3.1,0.708,0.139,0.714,0.194,3.643,0.196,0.571,0.125,0.167,0.4,0.723,malware
4.25,0.699,0.123,0.6,0.206,3.4,0.177,1,0.192,0.158,0.333,0.851,malware
2.667,0.855,0.804,7.167,0.112,7.625,0.94,0.417,0.126,0.148,0.157,0.757,Defacement
3.083,0.716,0.03,0.167,0.179,4,0.042,0.75,0.254,0.739,-1,0.843,malware
3.6,0.774,0.527,3.5,0.151,5.143,0.681,0.571,0.172,0.2,0.245,0.784,malware
1,0.691,0.618,3,0.206,3.357,0.894,0.714,0.088,0,0,0.784,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
4,0.824,0.624,5.2,0.12,6.867,0.757,0.733,0.232,0.284,0.321,0.932,malware
2.25,0.682,0.534,2.238,0.239,2.857,0.783,0.714,0.046,0.07,0.085,0.797,Defacement
3,0.164,0.03,0.041,0.731,0.225,0.182,0.265,0,0,-1,0.729,malware
2.667,0.762,0.657,3.833,0.171,4.444,0.863,0.667,0.038,0.051,0.058,0.857,Defacement
4.375,0.716,0.135,0.714,0.189,3.786,0.189,0.571,0.122,0.16,0.4,0.747,malware
5.833,0.863,0.021,0.333,0.063,13.667,0.024,0.667,0.095,0,-1,1,malware
2.667,0.787,0.663,4.917,0.135,5.833,0.843,0.75,0.034,0.044,0.051,0.843,Defacement
1,0.682,0.606,2.857,0.212,3.214,0.889,0.714,0.106,0.024,0.025,0.747,malware
2.667,0.763,0.645,4,0.161,4.733,0.845,0.6,0.065,0.086,0.1,0.782,Defacement
3.2,0.731,0.462,2.571,0.18,4.071,0.632,0.571,0.051,0,0,0.761,malware
7.75,0.531,0.031,0.087,0.359,1.478,0.059,0.565,0.016,0.03,-1,0.844,Defacement
2.667,0.871,0.796,9.75,0.082,10.667,0.914,0.75,0.041,0.047,0.051,0.843,Defacement
3.6,0.708,0.031,0.167,0.185,3.833,0.044,0.75,0.046,0.077,-1,0.843,malware
4.714,0.677,0.088,0.4,0.221,3.067,0.13,0.533,0.456,0.783,1,0.829,malware
2.455,0.696,0.145,0.714,0.203,3.429,0.208,0.571,0.174,-1,0.4,0.723,malware
2.8,0.763,0.525,3.5,0.15,5.083,0.689,0.5,0.025,0.039,0.048,0.843,Defacement
12.25,0.658,0.025,0.1,0.253,2.6,0.039,0.65,0.025,0,-1,0.821,malware
3.625,0.681,0.145,0.667,0.217,3.133,0.213,0.533,0.246,0.364,0.4,0.817,malware
4.286,0.529,0.029,0.08,0.368,1.44,0.056,0.72,0,0,-1,0.774,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
1,0.691,0.618,3,0.206,3.357,0.894,0.571,0.059,0,0,0.761,malware
4.6,0.677,0.265,1.2,0.221,3.067,0.391,0.733,0.103,0,0,0.77,malware
2.667,0.783,0.663,4.692,0.141,5.539,0.847,0.308,0.065,0.085,0.098,0.818,Defacement
5.417,0.784,0.021,0.143,0.144,5.429,0.026,0.643,0.309,0.56,-1,0.812,malware
4,0.675,0.425,1.79,0.238,2.842,0.63,0.632,0,0,0,0.768,malware
2.667,0.738,0.631,3.25,0.194,3.8,0.855,0.4,0.019,0.027,0.031,0.789,Defacement
6.25,0.72,0.14,0.667,0.21,3.429,0.194,0.714,0.02,0.032,0,0.87,malware
4.636,0.718,0.024,0.118,0.2,3.588,0.033,0.529,0.329,0.514,-1,0.885,malware
4.286,0.712,0.019,0.087,0.221,3.217,0.027,0.696,0,0,-1,0.813,malware
6,0.522,0.03,0.08,0.373,1.4,0.057,0.72,0,0,-1,0.774,malware
4.625,0.657,0.03,0.125,0.239,2.75,0.046,0.375,0,0,-1,0.832,Defacement
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
7.667,0.689,0.027,0.125,0.216,3.188,0.039,0.875,0.027,0,-1,0.875,Defacement
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.667,0.792,0.677,5,0.135,5.846,0.855,0.308,0.031,0.04,0.046,0.818,Defacement
1,0.777,0.723,4.857,0.149,5.214,0.932,0.714,0.075,0.015,0.015,0.798,malware
3.077,0.765,0.029,0.222,0.132,5.778,0.039,0.667,0.029,1,-1,0.93,malware
2.6,0.747,0.54,3.133,0.172,4.333,0.723,0.533,0.184,0.214,0.255,0.817,malware
3,0.791,0.698,4.138,0.169,4.69,0.882,0.897,0.029,0.039,0.042,0.745,Defacement
3.2,0.731,0.462,2.571,0.18,4.071,0.632,0.714,0.077,0,0,0.784,malware
2.667,0.725,0.612,3,0.204,3.55,0.845,0.45,0.061,0.057,0.067,0.867,Defacement
2.667,0.652,0.528,1.958,0.27,2.417,0.81,0.583,0.045,0.07,0.085,0.823,Defacement
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
3.375,0.672,0.149,0.667,0.224,3,0.222,0.733,0.299,0.381,0.4,0.77,malware
2.667,0.67,0.566,2.143,0.264,2.536,0.845,0.429,0.038,0.057,0.067,0.73,Defacement
3,0.821,0.67,5.917,0.113,7.25,0.816,0.75,0.028,0.037,0.042,0.861,malware
2.667,0.764,0.64,4.071,0.157,4.857,0.838,0.786,0.067,0.09,0.105,0.836,malware
3,0.418,0.036,0.08,0.455,0.92,0.087,0.4,0.109,0,-1,0.798,malware
3.7,0.677,0.029,0.133,0.221,3.067,0.044,0.8,0,0,-1,0.864,malware
3.1,0.563,0.028,0.087,0.324,1.739,0.05,0.565,0.042,0,-1,0.786,malware
2.667,0.773,0.681,4.05,0.168,4.6,0.88,0.45,0.21,-1,-1,0.867,Defacement
4.143,0.847,0.024,0.333,0.071,12,0.028,0.667,0.153,0.068,-1,1,malware
3.4,0.477,0.046,0.125,0.364,1.313,0.095,0.875,0,0,-1,0.875,Defacement
2.667,0.727,0.584,3.214,0.182,4,0.804,0.571,0.052,0.036,0.044,0.798,Defacement
2.5,0.738,0.475,2.714,0.175,4.214,0.644,0.5,0.25,0.444,0.526,0.836,malware
3,0.385,0.051,0.118,0.436,0.882,0.133,0.588,0,0,-1,0.845,Defacement
10,0.672,0.031,0.143,0.219,3.071,0.047,0.643,0.203,0.333,-1,0.85,malware
2.667,0.626,0.506,1.704,0.297,2.111,0.807,0.889,0.033,0.054,0.065,0.751,Defacement
2.667,0.773,0.673,4.111,0.164,4.722,0.871,0.833,0.091,0.119,0.135,0.867,Defacement
4.636,0.744,0.024,0.143,0.171,4.357,0.033,0.786,0,0,-1,0.925,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.747,malware
3.5,0.823,0.701,5.421,0.129,6.368,0.851,0.421,0.109,0.142,0.155,0.833,Defacement
4.333,0.621,0.379,1.389,0.273,2.278,0.61,0.444,0.121,0.2,0.32,0.82,Defacement
2.667,0.6,0.49,1.485,0.33,1.818,0.817,0.788,0.06,0.102,0.122,0.744,Defacement
3.833,0.412,0.029,0.061,0.485,0.849,0.071,0.333,0.015,0.1,-1,0.785,Defacement
6.333,0.642,0.03,0.118,0.254,2.529,0.047,0.471,0.149,0,-1,0.816,malware
2.667,0.757,0.651,3.722,0.175,4.333,0.859,0.833,0.078,0.104,0.119,0.867,Defacement
3.6,0.769,0.517,3.357,0.154,5,0.671,0.571,0.176,0.207,0.255,0.784,malware
1,0.687,0.612,2.929,0.209,3.286,0.891,0.714,0.105,0.024,0.024,0.747,malware
3.083,0.716,0.03,0.167,0.179,4,0.042,0.75,0.239,-1,-1,0.843,malware
2.667,0.695,0.561,2.556,0.22,3.167,0.807,0.333,0.037,0.054,0.065,0.857,Defacement
2.667,0.826,0.75,6,0.125,6.611,0.908,0.444,0.056,0.068,0.074,0.783,Defacement
3.75,0.753,0.539,3.2,0.169,4.467,0.716,0.6,0.225,0.345,0.417,0.77,malware
2.667,0.6,0.49,1.485,0.33,1.818,0.817,0.788,0.06,0.102,0.122,0.744,Defacement
4.875,0.675,0.108,0.45,0.241,2.8,0.161,0.35,0.036,0.273,0.222,0.789,malware
3.667,0.773,0.587,4.4,0.133,5.8,0.759,0.7,0.16,0.211,0.273,0.88,malware
2.8,0.804,0.608,4.917,0.124,6.5,0.756,0.5,0.083,0.116,0.136,0.843,Defacement
2.667,0.806,0.741,4.846,0.153,5.269,0.92,0.385,0.024,0.029,0.032,0.847,Defacement
6.167,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.059,0,-1,0.867,malware
3,0.819,0.667,5.833,0.114,7.167,0.814,0.75,0.019,0.025,0.029,0.861,malware
2.667,0.722,0.582,3.067,0.19,3.8,0.807,0.6,0.038,0.054,0.065,0.782,Defacement
5.8,0.753,0.023,0.133,0.169,4.467,0.03,0.6,0.36,0.556,-1,0.829,malware
2.667,0.77,0.673,4,0.168,4.579,0.874,0.368,0.053,0.07,0.079,0.842,Defacement
5,0.683,0.39,1.684,0.232,2.947,0.571,0.474,0.049,0.071,0.094,0.808,Defacement
2.667,0.828,0.746,6.25,0.119,6.938,0.901,0.813,0.022,0.027,0.03,0.863,Defacement
2.667,0.899,0.848,12.267,0.069,13,0.944,0.4,0.129,0.144,0.152,0.804,Defacement
3,0.63,0.37,1.7,0.217,2.9,0.586,1,0.174,0.071,0.118,0.88,Defacement
5,0.679,0.107,0.45,0.238,2.85,0.158,0.35,0.036,0.273,0.222,0.789,malware
4.875,0.675,0.108,0.45,0.241,2.8,0.161,0.35,0.036,0.273,0.222,0.789,malware
2.667,0.637,0.517,1.808,0.286,2.231,0.81,0.423,0.044,0.07,0.085,0.814,Defacement
5.444,0.64,0.023,0.08,0.281,2.28,0.035,0.72,0,0,-1,0.774,malware
2.667,0.772,0.685,3.955,0.173,4.455,0.888,0.546,0.047,0.062,0.069,0.829,Defacement
3.333,0.756,0.611,3.667,0.167,4.533,0.809,0.6,0.289,0.388,0.473,0.851,malware
2.667,0.764,0.64,4.071,0.157,4.857,0.838,0.786,0.056,0.075,0.088,0.836,malware
2.667,0.802,0.698,5.286,0.132,6.071,0.871,0.786,0.057,0.071,0.081,0.963,Defacement
2.667,0.517,0.328,0.905,0.362,1.429,0.633,0.524,0,0,0,0.78,Defacement
3.571,0.689,0.044,0.143,0.311,2.214,0.065,0.643,0,0,-1,0.85,malware
3.846,0.829,0.026,0.333,0.079,10.5,0.032,0.667,0.118,0,-1,1,malware
7.167,0.676,0.028,0.125,0.225,3,0.042,0.438,0.352,0.818,-1,0.926,malware
4.286,0.735,0.041,0.154,0.265,2.769,0.056,0.539,0.082,0,-1,0.834,malware
2.667,0.824,0.722,6.5,0.111,7.417,0.876,0.75,0.269,0.33,0.372,0.843,Defacement
5,0.515,0.029,0.077,0.382,1.346,0.057,0.462,0.015,0.063,-1,0.824,malware
3,0.819,0.667,5.833,0.114,7.167,0.814,0.75,0.019,0.025,0.029,0.861,malware
4.636,0.744,0.024,0.143,0.171,4.357,0.033,0.786,0,0,-1,0.925,malware
5,0.691,0.029,0.143,0.206,3.357,0.043,0.786,0,0,-1,0.925,malware
4.182,0.814,0.029,0.333,0.086,9.5,0.035,0.667,0.129,0,-1,1,malware
4.111,0.682,0.03,0.143,0.212,3.214,0.044,0.786,0.015,0.059,-1,0.925,malware
5,0.738,0.025,0.143,0.175,4.214,0.034,0.786,0.038,0.097,-1,0.925,malware
7,0.723,0.031,0.182,0.169,4.273,0.043,1,0.277,0.375,-1,0.823,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
2,0.539,0.452,1.13,0.4,1.348,0.839,0.326,0.13,0.17,0.173,0.733,malware
4.857,0.863,0.021,0.333,0.063,13.667,0.024,0.667,0.116,-1,-1,1,malware
2.333,0.81,0.691,6.444,0.107,7.556,0.853,0.667,0.476,0.567,0.655,1,Defacement
3.75,0.61,0.117,0.391,0.299,2.044,0.192,0.87,0.039,0.158,0.333,0.82,malware
4.5,0.762,0.5,3.231,0.155,4.923,0.656,0.539,0.036,0,0,0.834,malware
2.333,0.36,0.08,0.222,0.36,1,0.222,0.667,0,0,-1,0.93,Defacement
2.333,0.444,0.167,0.462,0.361,1.231,0.375,0.462,0.083,0.2,0.5,0.776,Defacement
2.667,0.79,0.707,4.476,0.158,5,0.895,0.667,0.053,0.067,0.075,0.797,Defacement
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
5.667,0.737,0.461,2.692,0.171,4.308,0.625,0.539,0.026,0.056,0.057,0.875,malware
4.714,0.687,0.09,0.429,0.209,3.286,0.13,0.571,0.463,0.783,1,0.836,malware
5,0.857,0.022,0.333,0.066,13,0.026,0.667,0.099,0,-1,1,malware
5,0.795,0.016,0.105,0.15,5.316,0.02,0.474,0.039,0.073,-1,0.808,Defacement
3.75,0.409,0.046,0.105,0.432,0.947,0.111,0.421,0,0,-1,0.833,Defacement
2.667,0.74,0.597,3.539,0.169,4.385,0.807,0.846,0.039,0.054,0.065,0.875,malware
2.667,0.667,0.54,2.136,0.253,2.636,0.81,0.546,0.046,0.07,0.085,0.829,Defacement
3,0.775,0.606,4.778,0.127,6.111,0.782,0.667,0.113,0.148,0.186,1,malware
2.667,0.764,0.64,4.071,0.157,4.857,0.838,0.786,0.056,0.075,0.088,0.836,malware
3,0.512,0.233,0.714,0.326,1.571,0.455,0.643,0.047,0.095,0.2,0.887,Defacement
4,0.475,0.033,0.08,0.41,1.16,0.069,0.6,0,0,-1,0.757,Defacement
2.667,0.716,0.58,2.938,0.198,3.625,0.81,0.375,0.049,0.07,0.085,0.863,Defacement
3.6,0.79,0.56,4,0.14,5.643,0.709,0.571,0.16,0.179,0.214,0.784,malware
3.25,0.61,0.195,0.889,0.22,2.778,0.32,0.778,0.146,0.158,0.375,1,Defacement
4.7,0.776,0.194,1.267,0.153,5.067,0.25,0.8,0.061,0.188,0.316,0.898,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
7.333,0.69,0.028,0.133,0.211,3.267,0.041,0.533,0.324,0.81,-1,0.885,malware
3.5,0.544,0.228,0.684,0.333,1.632,0.419,0.632,0.035,0.087,0.154,0.743,Defacement
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
2.667,0.756,0.628,3.857,0.163,4.643,0.831,0.786,0.035,0.047,0.056,0.836,malware
5.125,0.632,0.026,0.095,0.276,2.286,0.042,0.714,0,0,-1,0.87,malware
2.333,0.703,0.547,2.917,0.188,3.75,0.778,0.583,0.266,0.341,0.429,0.861,malware
3,0.385,0.051,0.118,0.436,0.882,0.133,0.471,0.077,0,-1,0.816,Defacement
3,0.656,0.406,1.733,0.234,2.8,0.619,0.333,0,0,0,0.804,Defacement
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
3,0.474,0.316,0.727,0.434,1.091,0.667,0.303,0.053,0.114,0.167,0.791,Defacement
2.667,0.818,0.718,6.077,0.118,6.923,0.878,0.539,0.055,0.067,0.076,0.818,Defacement
3.857,0.589,0.036,0.087,0.411,1.435,0.061,0.696,0.071,0,-1,0.805,malware
4.727,0.778,0.025,0.182,0.136,5.727,0.032,0.727,0,0,-1,0.895,malware
5.182,0.84,0.025,0.333,0.074,11.333,0.029,0.667,0.111,0,-1,1,malware
3.75,0.529,0.059,0.222,0.265,2,0.111,0.667,0.088,0.375,-1,0.93,Defacement
5.7,0.724,0.086,0.409,0.21,3.455,0.118,0.682,0.029,0.158,0.333,0.801,malware
2.667,0.671,0.541,2.191,0.247,2.714,0.807,0.667,0.035,0.054,0.065,0.797,Defacement
3.125,0.672,0.156,0.714,0.219,3.071,0.233,0.714,0.172,0.2,0.4,0.798,malware
2.667,0.723,0.614,2.952,0.208,3.476,0.849,0.524,0.03,0.042,0.048,0.78,Defacement
10.5,0.643,0.029,0.111,0.257,2.5,0.044,0.667,0.271,0.594,-1,0.83,malware
3,0.355,0.065,0.154,0.419,0.846,0.182,0.769,0,0,-1,0.86,Defacement
2.667,0.691,0.56,2.474,0.226,3.053,0.81,0.368,0.048,0.07,0.085,0.842,Defacement
2.8,0.796,0.591,4.583,0.129,6.167,0.743,0.5,0.043,0.062,0.073,0.843,Defacement
2.667,0.644,0.522,1.88,0.278,2.32,0.81,0.44,0.044,0.07,0.085,0.832,Defacement
3,0.727,0.468,2.571,0.182,4,0.643,0.571,0.208,0.273,0.333,0.784,malware
2.2,0.741,0.553,3.133,0.177,4.2,0.746,0.8,0.106,0.107,0.128,0.932,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.798,malware
3.5,0.788,0.657,4.091,0.161,4.909,0.833,0.409,0.029,0.04,0.044,0.781,Defacement
2.778,0.579,0.035,0.118,0.298,1.941,0.061,0.824,0.105,-1,-1,0.827,Defacement
3.667,0.7,0.525,2.471,0.213,3.294,0.75,0.588,0.013,0.018,0.024,0.845,Defacement
6.455,0.863,0.021,0.333,0.063,13.667,0.024,0.667,0.095,0,-1,1,malware
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
3.5,0.753,0.541,3.286,0.165,4.571,0.719,0.571,0.035,0.054,0.065,0.784,Defacement
5.125,0.632,0.026,0.095,0.276,2.286,0.042,0.714,0,0,-1,0.87,malware
4.5,0.711,0.276,1.4,0.197,3.6,0.389,0.533,0.04,0,0,0.829,malware
4.625,0.611,0.028,0.095,0.292,2.095,0.046,0.714,0,0,-1,0.87,malware
2.75,0.807,0.67,5.214,0.128,6.286,0.83,0.357,0.046,0.06,0.069,0.836,Defacement
2.667,0.792,0.677,5,0.135,5.846,0.855,0.308,0.031,0.04,0.046,0.818,Defacement
2.667,0.761,0.641,3.933,0.163,4.667,0.843,0.6,0.054,0.073,0.085,0.782,Defacement
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
2.667,0.632,0.471,1.778,0.265,2.389,0.744,0.444,0.044,0.071,0.094,0.783,Defacement
3.5,0.829,0.683,6,0.114,7.286,0.824,0.571,0.033,0.043,0.048,0.784,Defacement
2.5,0.733,0.594,3,0.198,3.7,0.811,0.65,0.099,0.143,0.167,0.821,Defacement
4.75,0.671,0.11,0.45,0.244,2.75,0.164,0.35,0.037,0.273,0.222,0.789,malware
3.909,0.624,0.024,0.08,0.294,2.12,0.038,0.4,0.094,-1,-1,0.798,malware
3.111,0.785,0.022,0.154,0.14,5.615,0.027,0.769,0.086,-1,-1,0.901,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.798,malware
7.429,0.716,0.025,0.125,0.198,3.625,0.035,0.438,0.469,0.625,-1,0.781,malware
3.6,0.386,0.035,0.071,0.491,0.786,0.091,0.75,0.018,0,-1,0.801,malware
2.667,0.621,0.505,1.655,0.305,2.035,0.814,0.793,0.021,0.035,0.042,0.743,Defacement
4,0.237,0.053,0.091,0.579,0.409,0.222,0.727,0,0,-1,0.862,Defacement
2.2,0.744,0.558,3.2,0.174,4.267,0.75,0.8,0.116,0.123,0.146,0.932,malware
2.667,0.794,0.692,4.933,0.14,5.667,0.871,0.4,0.056,0.071,0.081,0.804,Defacement
2.667,0.737,0.592,3.462,0.171,4.308,0.804,0.846,0.026,0.036,0.044,0.875,malware
16,0.828,0.016,0.143,0.115,7.214,0.02,0.571,0.148,0.146,-1,0.836,malware
5.182,0.791,0.023,0.182,0.128,6.182,0.029,0.727,0,0,-1,0.895,malware
2,0.539,0.452,1.13,0.4,1.348,0.839,0.326,0.13,0.17,0.173,0.73,malware
3.083,0.716,0.03,0.167,0.179,4,0.042,0.75,0.254,-1,-1,0.843,malware
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1,0.851,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.747,malware
3,0.866,0.768,8.4,0.092,9.467,0.887,0.333,0.043,0.052,0.056,0.804,Defacement
1.333,0.167,0.056,0.087,0.639,0.261,0.333,0.696,0,0,-1,0.721,Defacement
4,0.667,0.03,0.133,0.227,2.933,0.046,0.8,0,0,-1,0.864,malware
6.167,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.059,0,-1,0.867,malware
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1,0.851,malware
4.333,0.691,0.029,0.143,0.206,3.357,0.043,0.786,0,0,-1,0.925,malware
5.667,0.609,0.031,0.111,0.281,2.167,0.051,0.611,0,0,-1,0.814,malware
2.75,0.741,0.556,3.214,0.173,4.286,0.75,0.429,0.025,0.036,0.044,0.798,Defacement
2.667,0.811,0.737,5.191,0.142,5.714,0.908,0.524,0.034,0.042,0.046,0.78,Defacement
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
2.667,0.67,0.566,2.143,0.264,2.536,0.845,0.429,0.019,0.029,0.033,0.73,Defacement
3.5,0.734,0.453,2.9,0.156,4.7,0.617,0.7,0.063,0.108,0.138,0.94,malware
2.667,0.656,0.533,2,0.267,2.458,0.814,0.5,0.056,0.086,0.104,0.816,Defacement
5,0.515,0.029,0.077,0.382,1.346,0.057,0.462,0.015,0.063,-1,0.824,malware
2.667,0.594,0.422,1.421,0.297,2,0.711,0.474,0.031,0.054,0.074,0.783,Defacement
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.667,0.865,0.787,9.25,0.085,10.167,0.91,0.75,0.036,0.041,0.045,0.843,Defacement
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
6.167,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.059,0,-1,0.867,malware
4.462,0.845,0.024,0.333,0.071,11.833,0.028,0.667,0.107,0,-1,1,malware
4.375,0.716,0.135,0.714,0.189,3.786,0.189,0.571,0.122,0.16,0.4,0.747,malware
4.375,0.636,0.03,0.118,0.258,2.471,0.048,0.412,0.03,0.069,-1,0.806,Defacement
2.667,0.825,0.748,5.944,0.126,6.556,0.907,0.667,0.049,0.06,0.065,0.84,Defacement
4.6,0.724,0.026,0.143,0.184,3.929,0.036,0.571,0.053,1,-1,0.836,malware
4.1,0.652,0.098,0.36,0.272,2.4,0.15,0.72,0.033,-1,0.333,0.774,malware
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
2.8,0.915,0.83,15.5,0.054,17.083,0.907,0.5,0.107,0.122,0.129,0.843,Defacement
5.8,0.761,0.023,0.143,0.159,4.786,0.03,0.786,0.011,0.016,-1,0.925,malware
2.667,0.723,0.614,2.952,0.208,3.476,0.849,0.524,0.03,0.042,0.048,0.78,Defacement
2.75,0.525,0.15,0.5,0.3,1.75,0.286,1,0.275,0.2,0.5,0.684,Defacement
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.747,malware
5.1,0.741,0.025,0.143,0.173,4.286,0.033,0.786,0.037,0.094,-1,0.925,malware
4.333,0.882,0.788,10.308,0.077,11.539,0.893,0.769,0.147,0.168,0.187,0.86,malware
3.25,0.4,0.05,0.083,0.6,0.667,0.125,0.875,0,0,-1,0.798,malware
2.667,0.639,0.486,1.842,0.264,2.421,0.761,0.684,0,0,0,0.808,Defacement
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.784,malware
3.75,0.759,0.53,3.385,0.157,4.846,0.698,0.769,0.229,0.307,0.364,0.86,malware
4.818,0.781,0.024,0.182,0.134,5.818,0.031,0.727,0,0,-1,0.895,malware
1,0.691,0.618,3,0.206,3.357,0.894,0.571,0.059,0,0,0.761,malware
3,0.622,0.356,1.6,0.222,2.8,0.571,1,0.156,0.037,0.063,0.88,Defacement
4.6,0.697,0.273,1.385,0.197,3.539,0.391,0.539,0.046,0,0,0.86,malware
5,0.738,0.025,0.143,0.175,4.214,0.034,0.786,0.038,0.097,-1,0.925,malware
4.778,0.732,0.028,0.167,0.169,4.333,0.039,0.75,0,0,-1,0.843,malware
4.333,0.883,0.79,10.385,0.076,11.615,0.894,0.769,0.152,0.173,0.193,0.86,malware
4.833,0.753,0.321,2,0.161,4.692,0.426,0.539,0.037,0,0,0.86,malware
2.5,0.738,0.475,2.714,0.175,4.214,0.644,0.5,0.25,0.444,0.526,0.836,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
2.333,0.444,0.167,0.462,0.361,1.231,0.375,0.462,0.083,0.2,0.5,0.776,Defacement
